date,usd_brl
2023-09-14,4.8751
2023-09-15,4.8689
2023-09-18,4.8535
2023-09-19,4.8575
2023-09-20,4.8487
2023-09-21,4.9229
2023-09-22,4.9131
2023-09-25,4.9606
2023-09-26,4.9717
2023-09-27,5.0289
2023-09-28,5.0475
2023-09-29,5.0076
2023-10-02,5.0679
2023-10-03,5.11
2023-10-04,5.1526
2023-10-05,5.1713
2023-10-06,5.1918
2023-10-09,5.1666
2023-10-10,5.0862
2023-10-11,5.0496
2023-10-13,5.0625
2023-10-16,5.0618
2023-10-17,5.0384
2023-10-18,5.0568
2023-10-19,5.054
2023-10-20,5.0528
2023-10-23,5.0164
2023-10-24,5.0065
2023-10-25,4.9981
2023-10-26,5.0055
2023-10-27,4.948
2023-10-30,5.0074
2023-10-31,5.0575
2023-11-01,5.0194
2023-11-03,4.891
2023-11-06,4.8999
2023-11-07,4.867
2023-11-08,4.8855
2023-11-09,4.9007
2023-11-10,4.9219
2023-11-13,4.9247
2023-11-14,4.8682
2023-11-16,4.8575
2023-11-17,4.8849
2023-11-20,4.8723
2023-11-21,4.8806
2023-11-22,4.8968
2023-11-23,4.8931
2023-11-24,4.8927
2023-11-27,4.8951
2023-11-28,4.8867
2023-11-29,4.8933
2023-11-30,4.9355
2023-12-01,4.9191
2023-12-04,4.9091
2023-12-05,4.9522
2023-12-06,4.9031
2023-12-07,4.8949
2023-12-08,4.9158
2023-12-11,4.944
2023-12-12,4.9476
2023-12-13,4.958
2023-12-14,4.8912
2023-12-15,4.9397
2023-12-18,4.9399
2023-12-19,4.8663
2023-12-20,4.8766
2023-12-21,4.8755
2023-12-22,4.8619
2023-12-26,4.8368
2023-12-27,4.8306
2023-12-28,4.8413
2023-12-29,4.8413
2024-01-02,4.8916
2024-01-03,4.9212
2024-01-04,4.9188
2024-01-05,4.8899
2024-01-08,4.885
2024-01-09,4.8937
2024-01-10,4.8901
2024-01-11,4.8794
2024-01-12,4.8543
2024-01-15,4.8765
2024-01-16,4.9038
2024-01-17,4.9346
2024-01-18,4.9403
2024-01-19,4.9223
2024-01-22,4.949
2024-01-23,4.9715
2024-01-24,4.9192
2024-01-25,4.9232
2024-01-26,4.9125
2024-01-29,4.9225
2024-01-30,4.9638
2024-01-31,4.9535
2024-02-01,4.935
2024-02-02,4.9471
2024-02-05,5.0053
2024-02-06,4.9687
2024-02-07,4.9608
2024-02-08,4.9804
2024-02-09,4.9717
2024-02-14,4.9723
2024-02-15,4.971
2024-02-16,4.9761
2024-02-19,4.9585
2024-02-20,4.9408
2024-02-21,4.9303
2024-02-22,4.9419
2024-02-23,4.9851
2024-02-26,4.9819
2024-02-27,4.9575
2024-02-28,4.9557
2024-02-29,4.9833
2024-03-01,4.9596
2024-03-04,4.9475
2024-03-05,4.9488
2024-03-06,4.9398
2024-03-07,4.9364
2024-03-08,4.9751
2024-03-11,4.9777
2024-03-12,4.9813
2024-03-13,4.9803
2024-03-14,4.9768
2024-03-15,4.9937
2024-03-18,5.0124
2024-03-19,5.0352
2024-03-20,5.012
2024-03-21,4.9807
2024-03-22,4.9897
2024-03-25,4.9869
2024-03-26,4.987
2024-03-27,4.9856
2024-03-28,4.9962
2024-04-01,5.0532
2024-04-02,5.0476
2024-04-03,5.0724
2024-04-04,5.0237
2024-04-05,5.052
2024-04-08,5.0421
2024-04-09,5.008
2024-04-10,5.0654
2024-04-11,5.0765
2024-04-12,5.1364
2024-04-15,5.1746
2024-04-16,5.2635
2024-04-17,5.2469
2024-04-18,5.2512
2024-04-19,5.2269
2024-04-22,5.2043
2024-04-23,5.1626
2024-04-24,5.1592
2024-04-25,5.1679
2024-04-26,5.1184
2024-04-29,5.1155
2024-04-30,5.1718
2024-05-02,5.1184
2024-05-03,5.0668
2024-05-06,5.0727
2024-05-07,5.061
2024-05-08,5.0887
2024-05-09,5.1577
2024-05-10,5.1464
2024-05-13,5.1412
2024-05-14,5.1356
2024-05-15,5.1423
2024-05-16,5.127
2024-05-17,5.1157
2024-05-20,5.1085
2024-05-21,5.1037
2024-05-22,5.1502
2024-05-23,5.1443
2024-05-24,5.1508
2024-05-27,5.1704
2024-05-28,5.1538
2024-05-29,5.1972
2024-05-31,5.2416
2024-06-03,5.2373
2024-06-04,5.2687
2024-06-05,5.2841
2024-06-06,5.2681
2024-06-07,5.2802
2024-06-10,5.3666
2024-06-11,5.3524
2024-06-12,5.3891
2024-06-13,5.3974
2024-06-14,5.363
2024-06-17,5.413
2024-06-18,5.4074
2024-06-19,5.4647
2024-06-20,5.4254
2024-06-21,5.4416
2024-06-24,5.4
2024-06-25,5.429
2024-06-26,5.5097
2024-06-27,5.5229
2024-06-28,5.5589
2024-07-01,5.5893
2024-07-02,5.6677
2024-07-03,5.5863
2024-07-04,5.4839
2024-07-05,5.497
2024-07-08,5.472
2024-07-09,5.4387
2024-07-10,5.3967
2024-07-11,5.41
2024-07-12,5.4529
2024-07-15,5.4563
2024-07-16,5.4274
2024-07-17,5.467
2024-07-18,5.5426
2024-07-19,5.5543
2024-07-22,5.5598
2024-07-23,5.5807
2024-07-24,5.6346
2024-07-25,5.6402
2024-07-26,5.6465
2024-07-29,5.6479
2024-07-30,5.6532
2024-07-31,5.6621
2024-08-01,5.6681
2024-08-02,5.7366
2024-08-05,5.7646
2024-08-06,5.6528
2024-08-07,5.6093
2024-08-08,5.6172
2024-08-09,5.5115
2024-08-12,5.4911
2024-08-13,5.4875
2024-08-14,5.4502
2024-08-15,5.4651
2024-08-16,5.4632
2024-08-19,5.4237
2024-08-20,5.4547
2024-08-21,5.4707
2024-08-22,5.5524
2024-08-23,5.5263
2024-08-26,5.4921
2024-08-27,5.4969
2024-08-28,5.5315
2024-08-29,5.6358
2024-08-30,5.6562
2024-09-02,5.623
2024-09-03,5.6224
2024-09-04,5.6359
2024-09-05,5.6049
2024-09-06,5.5702
2024-09-09,5.6097
2024-09-10,5.6254
2024-09-11,5.6387
2024-09-12,5.6554
2024-09-13,5.5717
2024-09-16,5.5207
2024-09-17,5.501
2024-09-18,5.4767
2024-09-19,5.4189
2024-09-20,5.4775
2024-09-23,5.5446
2024-09-24,5.4702
2024-09-25,5.4736
2024-09-26,5.4412
2024-09-27,5.4431
2024-09-30,5.4481
2024-10-01,5.4521
2024-10-02,5.4305
2024-10-03,5.485
2024-10-04,5.4686
2024-10-07,5.4626
2024-10-08,5.5197
2024-10-09,5.5737
2024-10-10,5.5819
2024-10-11,5.6263
2024-10-14,5.6045
2024-10-15,5.6378
2024-10-16,5.6749
2024-10-17,5.6758
2024-10-18,5.6672
2024-10-21,5.7068
2024-10-22,5.6958
2024-10-23,5.7149
2024-10-24,5.7087
2024-10-25,5.6969
2024-10-28,5.6988
2024-10-29,5.714
2024-10-30,5.7801
2024-10-31,5.7779
2024-11-01,5.8073
2024-11-04,5.7898
2024-11-05,5.7846
2024-11-06,5.7648
2024-11-07,5.6624
2024-11-08,5.7648
2024-11-11,5.798
2024-11-12,5.7694
2024-11-13,5.7713
2024-11-14,5.7885
2024-11-18,5.7603
2024-11-19,5.7743
2024-11-21,5.8173
2024-11-22,5.8124
2024-11-25,5.8002
2024-11-26,5.799
2024-11-27,5.8291
2024-11-28,5.9871
2024-11-29,6.0535
2024-12-02,6.0634
2024-12-03,6.0707
2024-12-04,6.0581
2024-12-05,5.9849
2024-12-06,6.0293
2024-12-09,6.057
2024-12-10,6.0529
2024-12-11,6.032
2024-12-12,5.9408
2024-12-13,6.04
2024-12-16,6.0509
2024-12-17,6.1685
2024-12-18,6.1624
2024-12-19,6.1841
2024-12-20,6.078
2024-12-23,6.1612
2024-12-24,6.1541
2024-12-26,6.1656
2024-12-27,6.1991
2024-12-30,6.1923
2024-12-31,6.1923
2025-01-02,6.2086
2025-01-03,6.1563
2025-01-06,6.1119
2025-01-07,6.0741
2025-01-08,6.1321
2025-01-09,6.0896
2025-01-10,6.0965
2025-01-13,6.1079
2025-01-14,6.0671
2025-01-15,6.0377
2025-01-16,6.0322
2025-01-17,6.0609
2025-01-20,6.0498
2025-01-21,6.044
2025-01-22,5.9674
2025-01-23,5.9399
2025-01-24,5.8925
2025-01-27,5.9272
2025-01-28,5.893
2025-01-29,5.8596
2025-01-30,5.9006
2025-01-31,5.8301
2025-02-03,5.8687
2025-02-04,5.7927
2025-02-05,5.7997
2025-02-06,5.7856
2025-02-07,5.7557
2025-02-10,5.7808
2025-02-11,5.7788
2025-02-12,5.7711
2025-02-13,5.7788
2025-02-14,5.7283
2025-02-17,5.7105
2025-02-18,5.6979
2025-02-19,5.7087
2025-02-20,5.7019
2025-02-21,5.7027
2025-02-24,5.7258
2025-02-25,5.7779
2025-02-26,5.7757
2025-02-27,5.8228
2025-02-28,5.8488
2025-03-05,5.7914
2025-03-06,5.7489
2025-03-07,5.7688
2025-03-10,5.793
2025-03-11,5.8346
2025-03-12,5.8268
2025-03-13,5.8131
2025-03-14,5.7419
2025-03-17,5.7082
2025-03-18,5.6852
2025-03-19,5.6657
2025-03-20,5.6628
2025-03-21,5.7241
2025-03-24,5.7403
2025-03-25,5.6992
2025-03-26,5.7298
2025-03-27,5.7474
2025-03-28,5.766
2025-03-31,5.7422
2025-04-01,5.7051
2025-04-02,5.6923
2025-04-03,5.6067
2025-04-04,5.7777
2025-04-07,5.8877
2025-04-08,5.9368
2025-04-09,6.0605
2025-04-10,5.9115
2025-04-11,5.8737
2025-04-14,5.8425
2025-04-15,5.8707
2025-04-16,5.8808
2025-04-17,5.8559
2025-04-22,5.7496
2025-04-23,5.688
2025-04-24,5.6738
2025-04-25,5.6846
2025-04-28,5.6681
2025-04-29,5.6467
2025-04-30,5.6608
2025-05-02,5.6394
2025-05-05,5.652
2025-05-06,5.721
2025-05-07,5.7375
2025-05-08,5.686
2025-05-09,5.6511
2025-05-12,5.6822
2025-05-13,5.6262
2025-05-14,5.61
2025-05-15,5.6328
2025-05-16,5.6925
2025-05-19,5.6591
2025-05-20,5.662
2025-05-21,5.6571
2025-05-22,5.639
2025-05-23,5.6932
2025-05-26,5.6619
2025-05-27,5.6539
2025-05-28,5.6936
2025-05-29,5.6559
2025-05-30,5.7087
2025-06-02,5.6937
2025-06-03,5.6694
2025-06-04,5.6332
2025-06-05,5.5969
2025-06-06,5.5947
2025-06-09,5.576
2025-06-10,5.5557
2025-06-11,5.539
2025-06-12,5.5388
2025-06-13,5.5652
2025-06-16,5.5123
2025-06-17,5.4773
2025-06-18,5.4879
2025-06-20,5.4957
2025-06-23,5.5213
2025-06-24,5.4938
2025-06-25,5.5427
2025-06-26,5.5145
2025-06-27,5.4759
2025-06-30,5.4571
2025-07-01,5.4511
2025-07-02,5.4512
2025-07-03,5.4208
2025-07-04,5.409
2025-07-07,5.4552
2025-07-08,5.4571
2025-07-09,5.4626
2025-07-10,5.5433
2025-07-11,5.5722
2025-07-14,5.5595
2025-07-15,5.5576
2025-07-16,5.5722
2025-07-17,5.5737
2025-07-18,5.5466
2025-07-21,5.5625
2025-07-22,5.5709
2025-07-23,5.5537
2025-07-24,5.5239
2025-07-25,5.5426
2025-07-28,5.5877
2025-07-29,5.5764
2025-07-30,5.6034
2025-07-31,5.6021
2025-08-01,5.5436
2025-08-04,5.5113
2025-08-05,5.5119
2025-08-06,5.4802
2025-08-07,5.4638
2025-08-08,5.4254
2025-08-11,5.4473
2025-08-12,5.4052
2025-08-13,5.3928
2025-08-14,5.4095
2025-08-15,5.3928
2025-08-18,5.4155
2025-08-19,5.4716
2025-08-20,5.4726
2025-08-21,5.4828
2025-08-22,5.4392
2025-08-25,5.4174
2025-08-26,5.4218
2025-08-27,5.4428
2025-08-28,5.4115
2025-08-29,5.4264
2025-09-01,5.4378
2025-09-02,5.468
2025-09-03,5.4485
2025-09-04,5.4587
2025-09-05,5.3968
2025-09-08,5.4278
2025-09-09,5.4278
2025-09-10,5.4123
2025-09-11,5.3858
2025-09-12,5.3677
2025-09-15,5.3208
2025-09-16,5.3096
2025-09-17,5.3011
2025-09-18,5.301
2025-09-19,5.3276
2025-09-22,5.3457
2025-09-23,5.3063
2025-09-24,5.3112
2025-09-25,5.3425
2025-09-26,5.3445
2025-09-29,5.3229
2025-09-30,5.3186
2025-10-01,5.3208
2025-10-02,5.3449
2025-10-03,5.3498
2025-10-06,5.3226
2025-10-07,5.3363
2025-10-08,5.3427
2025-10-09,5.3538
2025-10-10,5.4446
2025-10-13,5.4629
2025-10-14,5.4982
2025-10-15,5.4464
2025-10-16,5.4354
2025-10-17,5.439
2025-10-20,5.3771
2025-10-21,5.3848
2025-10-22,5.3898
2025-10-23,5.384
2025-10-24,5.3797
2025-10-27,5.3744
2025-10-28,5.369
2025-10-29,5.3416
2025-10-30,5.385
2025-10-31,5.3843
2025-11-03,5.3505
2025-11-04,5.3846
2025-11-05,5.3798
2025-11-06,5.3451
2025-11-07,5.3567
2025-11-10,5.3181
2025-11-11,5.2729
2025-11-12,5.2885
2025-11-13,5.282
2025-11-14,5.2952
2025-11-17,5.3108
2025-11-18,5.3361
2025-11-19,5.3346
2025-11-21,5.3902
2025-11-24,5.3948
2025-11-25,5.3841
2025-11-26,5.3694
2025-11-27,5.349
2025-11-28,5.3338
2025-12-01,5.3469
2025-12-02,5.3465
2025-12-03,5.3114
2025-12-04,5.2952
2025-12-05,5.3405
2025-12-08,5.4249
2025-12-09,5.457
2025-12-10,5.4656
2025-12-11,5.4237
2025-12-12,5.4011
2025-12-15,5.3929
2025-12-16,5.4505
2025-12-17,5.5093
2025-12-18,5.5283
2025-12-19,5.516
2025-12-22,5.5389
2025-12-23,5.5643
2025-12-24,5.535
2025-12-26,5.5413
2025-12-29,5.5739
2025-12-30,5.5024
2025-12-31,5.5024
2026-01-02,5.4372
2026-01-05,5.4351
2026-01-06,5.3797
2026-01-07,5.388
2026-01-08,5.386
2026-01-09,5.3707
2026-01-12,5.376
2026-01-13,5.3764
2026-01-14,5.3795
2026-01-15,5.3846
2026-01-16,5.3798
2026-01-19,5.3653
2026-01-20,5.379
2026-01-21,5.3368
2026-01-22,5.3118
2026-01-23,5.2879
2026-01-26,5.276
2026-01-27,5.2392
2026-01-28,5.1838
2026-01-29,5.1956
2026-01-30,5.2301
2026-02-02,5.2587
2026-02-03,5.2236
2026-02-04,5.2359
2026-02-05,5.258
2026-02-06,5.2341
2026-02-09,5.1943
2026-02-10,5.2021
2026-02-11,5.1836
2026-02-12,5.1674
2026-02-13,5.2288
2026-02-18,5.2349
2026-02-19,5.2257
2026-02-20,5.2006
2026-02-23,5.1635
2026-02-24,5.1682
2026-02-25,5.144
2026-02-26,5.1382
2026-02-27,5.1495
2026-03-02,5.2001
2026-03-03,5.287
2026-03-04,5.2091
2026-03-05,5.2447
2026-03-06,5.2878
2026-03-09,5.2139
2026-03-10,5.1622
2026-03-11,5.1596
2026-03-12,5.2051
2026-03-13,5.2541
2026-03-16,5.2647
2026-03-17,5.2022
2026-03-18,5.2112
2026-03-19,5.2587
2026-03-20,5.28
2026-03-23,5.244
2026-03-24,5.2599
